date,freq,week
2007-07-08 - 2007-07-14,12,67
2007-07-15 - 2007-07-21,13,68
2007-07-22 - 2007-07-28,13,69
2007-07-29 - 2007-08-04,13,70
2007-08-05 - 2007-08-11,13,71
2007-08-12 - 2007-08-18,12,72
2007-08-19 - 2007-08-25,12,73
2007-08-26 - 2007-09-01,12,74
2007-09-02 - 2007-09-08,11,75
2007-09-09 - 2007-09-15,11,76
2007-09-16 - 2007-09-22,11,77
2007-09-23 - 2007-09-29,11,78
2007-09-30 - 2007-10-06,11,79
2007-10-07 - 2007-10-13,11,80
2007-10-14 - 2007-10-20,10,81
2007-10-21 - 2007-10-27,10,82
2007-10-28 - 2007-11-03,13,83
2007-11-04 - 2007-11-10,15,84
2007-11-11 - 2007-11-17,9,85
2007-11-18 - 2007-11-24,10,86
2007-11-25 - 2007-12-01,10,87
2007-12-02 - 2007-12-08,11,88
2007-12-09 - 2007-12-15,10,89
2007-12-16 - 2007-12-22,11,90
2007-12-23 - 2007-12-29,17,91
2007-12-30 - 2008-01-05,23,92
2008-01-06 - 2008-01-12,15,93
2008-01-13 - 2008-01-19,9,94
2008-01-20 - 2008-01-26,9,95
2008-01-27 - 2008-02-02,9,96
2008-02-03 - 2008-02-09,9,97
2008-02-10 - 2008-02-16,9,98
2008-02-17 - 2008-02-23,9,99
2008-02-24 - 2008-03-01,9,100
2008-03-02 - 2008-03-08,9,101
2008-03-09 - 2008-03-15,9,102
2008-03-16 - 2008-03-22,9,103
2008-03-23 - 2008-03-29,11,104
2008-03-30 - 2008-04-05,13,105
2008-04-06 - 2008-04-12,13,106
2008-04-13 - 2008-04-19,9,107
2008-04-20 - 2008-04-26,9,108
2008-04-27 - 2008-05-03,9,109
2008-05-04 - 2008-05-10,9,110
2008-05-11 - 2008-05-17,9,111
2008-05-18 - 2008-05-24,17,112
2008-05-25 - 2008-05-31,9,113
2008-06-01 - 2008-06-07,9,114
2008-06-08 - 2008-06-14,9,115
2008-06-15 - 2008-06-21,9,116
2008-06-22 - 2008-06-28,9,117
2008-06-29 - 2008-07-05,9,118
2008-07-06 - 2008-07-12,9,119
2008-07-13 - 2008-07-19,9,120
2008-07-20 - 2008-07-26,9,121
2008-07-27 - 2008-08-02,9,122
2008-08-03 - 2008-08-09,14,123
2008-08-10 - 2008-08-16,9,124
2008-08-17 - 2008-08-23,9,125
2008-08-24 - 2008-08-30,9,126
2008-08-31 - 2008-09-06,16,127
2008-09-07 - 2008-09-13,20,128
2008-09-14 - 2008-09-20,8,129
2008-09-21 - 2008-09-27,8,130
2008-09-28 - 2008-10-04,8,131
2008-10-05 - 2008-10-11,10,132
2008-10-12 - 2008-10-18,13,133
2008-10-19 - 2008-10-25,15,134
2008-10-26 - 2008-11-01,7,135
2008-11-02 - 2008-11-08,10,136
2008-11-09 - 2008-11-15,11,137
2008-11-16 - 2008-11-22,15,138
2008-11-23 - 2008-11-29,7,139
2008-11-30 - 2008-12-06,7,140
2008-12-07 - 2008-12-13,7,141
2008-12-14 - 2008-12-20,8,142
2008-12-21 - 2008-12-27,9,143
2008-12-28 - 2009-01-03,9,144
2009-01-04 - 2009-01-10,7,145
2009-01-11 - 2009-01-17,7,146
2009-01-18 - 2009-01-24,7,147
2009-01-25 - 2009-01-31,7,148
2009-02-01 - 2009-02-07,7,149
2009-02-08 - 2009-02-14,7,150
2009-02-15 - 2009-02-21,7,151
2009-02-22 - 2009-02-28,7,152
2009-03-01 - 2009-03-07,7,153
2009-03-08 - 2009-03-14,7,154
2009-03-15 - 2009-03-21,7,155
2009-03-22 - 2009-03-28,7,156
2009-03-29 - 2009-04-04,7,157
2009-04-05 - 2009-04-11,14,158
2009-04-12 - 2009-04-18,7,159
2009-04-19 - 2009-04-25,7,160
2009-04-26 - 2009-05-02,7,161
2009-05-03 - 2009-05-09,13,162
2009-05-10 - 2009-05-16,6,163
2009-05-17 - 2009-05-23,6,164
2009-05-24 - 2009-05-30,6,165
2009-05-31 - 2009-06-06,6,166
2009-06-07 - 2009-06-13,6,167
2009-06-14 - 2009-06-20,6,168
2009-06-21 - 2009-06-27,8,169
2009-06-28 - 2009-07-04,11,170
2009-07-05 - 2009-07-11,13,171
2009-07-12 - 2009-07-18,7,172
2009-07-19 - 2009-07-25,13,173
2009-07-26 - 2009-08-01,7,174
2009-08-02 - 2009-08-08,7,175
2009-08-09 - 2009-08-15,7,176
2009-08-16 - 2009-08-22,7,177
2009-08-23 - 2009-08-29,6,178
2009-08-30 - 2009-09-05,6,179
2009-09-06 - 2009-09-12,18,180
2009-09-13 - 2009-09-19,6,181
2009-09-20 - 2009-09-26,6,182
2009-09-27 - 2009-10-03,6,183
2009-10-04 - 2009-10-10,12,184
2009-10-11 - 2009-10-17,12,185
2009-10-18 - 2009-10-24,9,186
2009-10-25 - 2009-10-31,11,187
2009-11-01 - 2009-11-07,17,188
2009-11-08 - 2009-11-14,6,189
2009-11-15 - 2009-11-21,5,190
2009-11-22 - 2009-11-28,6,191
2009-11-29 - 2009-12-05,6,192
2009-12-06 - 2009-12-12,16,193
2009-12-13 - 2009-12-19,11,194
2009-12-20 - 2009-12-26,6,195
2009-12-27 - 2010-01-02,6,196
2010-01-03 - 2010-01-09,5,197
2010-01-10 - 2010-01-16,5,198
2010-01-17 - 2010-01-23,5,199
2010-01-24 - 2010-01-30,10,200
2010-01-31 - 2010-02-06,5,201
2010-02-07 - 2010-02-13,5,202
2010-02-14 - 2010-02-20,5,203
2010-02-21 - 2010-02-27,15,204
2010-02-28 - 2010-03-06,5,205
2010-03-07 - 2010-03-13,10,206
2010-03-14 - 2010-03-20,5,207
2010-03-21 - 2010-03-27,5,208
2010-03-28 - 2010-04-03,5,209
2010-04-04 - 2010-04-10,11,210
2010-04-11 - 2010-04-17,5,211
2010-04-18 - 2010-04-24,5,212
2010-04-25 - 2010-05-01,5,213
2010-05-02 - 2010-05-08,10,214
2010-05-09 - 2010-05-15,10,215
2010-05-16 - 2010-05-22,5,216
2010-05-23 - 2010-05-29,10,217
2010-05-30 - 2010-06-05,5,218
2010-06-06 - 2010-06-12,10,219
2010-06-13 - 2010-06-19,5,220
2010-06-20 - 2010-06-26,11,221
2010-06-27 - 2010-07-03,16,222
2010-07-04 - 2010-07-10,10,223
2010-07-11 - 2010-07-17,10,224
2010-07-18 - 2010-07-24,5,225
2010-07-25 - 2010-07-31,10,226
2010-08-01 - 2010-08-07,5,227
2010-08-08 - 2010-08-14,5,228
2010-08-15 - 2010-08-21,8,229
2010-08-22 - 2010-08-28,5,230
2010-08-29 - 2010-09-04,5,231
2010-09-05 - 2010-09-11,5,232
2010-09-12 - 2010-09-18,4,233
2010-09-19 - 2010-09-25,7,234
2010-09-26 - 2010-10-02,6,235
2010-10-03 - 2010-10-09,13,236
2010-10-10 - 2010-10-16,26,237
2010-10-17 - 2010-10-23,9,238
2010-10-24 - 2010-10-30,11,239
2010-10-31 - 2010-11-06,8,240
2010-11-07 - 2010-11-13,8,241
2010-11-14 - 2010-11-20,8,242
2010-11-21 - 2010-11-27,13,243
2010-11-28 - 2010-12-04,8,244
2010-12-05 - 2010-12-11,8,245
2010-12-12 - 2010-12-18,6,246
2010-12-19 - 2010-12-25,5,247
2010-12-26 - 2011-01-01,4,248
2011-01-02 - 2011-01-08,4,249
2011-01-09 - 2011-01-15,5,250
2011-01-16 - 2011-01-22,6,251
2011-01-23 - 2011-01-29,4,252
2011-01-30 - 2011-02-05,4,253
2011-02-06 - 2011-02-12,4,254
2011-02-13 - 2011-02-19,11,255
2011-02-20 - 2011-02-26,6,256
2011-02-27 - 2011-03-05,4,257
2011-03-06 - 2011-03-12,5,258
2011-03-13 - 2011-03-19,13,259
2011-03-20 - 2011-03-26,5,260
2011-03-27 - 2011-04-02,6,261
2011-04-03 - 2011-04-09,9,262
2011-04-10 - 2011-04-16,10,263
2011-04-17 - 2011-04-23,7,264
2011-04-24 - 2011-04-30,9,265
2011-05-01 - 2011-05-07,23,266
2011-05-08 - 2011-05-14,11,267
2011-05-15 - 2011-05-21,4,268
2011-05-22 - 2011-05-28,5,269
2011-05-29 - 2011-06-04,8,270
2011-06-05 - 2011-06-11,13,271
2011-06-12 - 2011-06-18,7,272
2011-06-19 - 2011-06-25,4,273
2011-06-26 - 2011-07-02,4,274
2011-07-03 - 2011-07-09,4,275
2011-07-10 - 2011-07-16,8,276
2011-07-17 - 2011-07-23,8,277
2011-07-24 - 2011-07-30,7,278
2011-07-31 - 2011-08-06,10,279
2011-08-07 - 2011-08-13,5,280
2011-08-14 - 2011-08-20,7,281
2011-08-21 - 2011-08-27,14,282
2011-08-28 - 2011-09-03,5,283
2011-09-04 - 2011-09-10,7,284
2011-09-11 - 2011-09-17,9,285
2011-09-18 - 2011-09-24,17,286
2011-09-25 - 2011-10-01,10,287
2011-10-02 - 2011-10-08,8,288
2011-10-09 - 2011-10-15,5,289
2011-10-16 - 2011-10-22,8,290
2011-10-23 - 2011-10-29,8,291
2011-10-30 - 2011-11-05,7,292
2011-11-06 - 2011-11-12,7,293
2011-11-13 - 2011-11-19,9,294
2011-11-20 - 2011-11-26,5,295
2011-11-27 - 2011-12-03,11,296
2011-12-04 - 2011-12-10,13,297
2011-12-11 - 2011-12-17,7,298
2011-12-18 - 2011-12-24,6,299
2011-12-25 - 2011-12-31,5,300
2012-01-01 - 2012-01-07,5,301
2012-01-08 - 2012-01-14,8,302
2012-01-15 - 2012-01-21,3,303
2012-01-22 - 2012-01-28,8,304
2012-01-29 - 2012-02-04,8,305
2012-02-05 - 2012-02-11,10,306
2012-02-12 - 2012-02-18,11,307
2012-02-19 - 2012-02-25,7,308
2012-02-26 - 2012-03-03,6,309
2012-03-04 - 2012-03-10,6,310
2012-03-11 - 2012-03-17,6,311
2012-03-18 - 2012-03-24,9,312
2012-03-25 - 2012-03-31,11,313
2012-04-01 - 2012-04-07,25,314
2012-04-08 - 2012-04-14,5,315
2012-04-15 - 2012-04-21,9,316
2012-04-22 - 2012-04-28,12,317
2012-04-29 - 2012-05-05,9,318
2012-05-06 - 2012-05-12,14,319
2012-05-13 - 2012-05-19,6,320
2012-05-20 - 2012-05-26,10,321
2012-05-27 - 2012-06-02,14,322
2012-06-03 - 2012-06-09,6,323
2012-06-10 - 2012-06-16,17,324
2012-06-17 - 2012-06-23,9,325
2012-06-24 - 2012-06-30,7,326
2012-07-01 - 2012-07-07,9,327
2012-07-08 - 2012-07-14,13,328
2012-07-15 - 2012-07-21,13,329
2012-07-22 - 2012-07-28,6,330
2012-07-29 - 2012-08-04,7,331
2012-08-05 - 2012-08-11,7,332
2012-08-12 - 2012-08-18,9,333
2012-08-19 - 2012-08-25,10,334
2012-08-26 - 2012-09-01,7,335
2012-09-02 - 2012-09-08,8,336
2012-09-09 - 2012-09-15,10,337
2012-09-16 - 2012-09-22,17,338
2012-09-23 - 2012-09-29,18,339
2012-09-30 - 2012-10-06,10,340
2012-10-07 - 2012-10-13,13,341
2012-10-14 - 2012-10-20,12,342
2012-10-21 - 2012-10-27,17,343
2012-10-28 - 2012-11-03,12,344
2012-11-04 - 2012-11-10,10,345
2012-11-11 - 2012-11-17,11,346
2012-11-18 - 2012-11-24,10,347
2012-11-25 - 2012-12-01,9,348
2012-12-02 - 2012-12-08,10,349
2012-12-09 - 2012-12-15,10,350
2012-12-16 - 2012-12-22,14,351
2012-12-23 - 2012-12-29,7,352
2012-12-30 - 2013-01-05,11,353
2013-01-06 - 2013-01-12,16,354
2013-01-13 - 2013-01-19,15,355
2013-01-20 - 2013-01-26,8,356
2013-01-27 - 2013-02-02,8,357
2013-02-03 - 2013-02-09,10,358
2013-02-10 - 2013-02-16,16,359
2013-02-17 - 2013-02-23,10,360
2013-02-24 - 2013-03-02,16,361
2013-03-03 - 2013-03-09,9,362
2013-03-10 - 2013-03-16,6,363
2013-03-17 - 2013-03-23,7,364
2013-03-24 - 2013-03-30,11,365
2013-03-31 - 2013-04-06,8,366
2013-04-07 - 2013-04-13,10,367
2013-04-14 - 2013-04-20,9,368
2013-04-21 - 2013-04-27,14,369
2013-04-28 - 2013-05-04,11,370
2013-05-05 - 2013-05-11,6,371
2013-05-12 - 2013-05-18,7,372
2013-05-19 - 2013-05-25,9,373
2013-05-26 - 2013-06-01,10,374
2013-06-02 - 2013-06-08,19,375
2013-06-09 - 2013-06-15,13,376
2013-06-16 - 2013-06-22,13,377
2013-06-23 - 2013-06-29,11,378
2013-06-30 - 2013-07-06,8,379
2013-07-07 - 2013-07-13,10,380
2013-07-14 - 2013-07-20,10,381
2013-07-21 - 2013-07-27,10,382
2013-07-28 - 2013-08-03,14,383
2013-08-04 - 2013-08-10,11,384
2013-08-11 - 2013-08-17,15,385
2013-08-18 - 2013-08-24,13,386
2013-08-25 - 2013-08-31,31,387
2013-09-01 - 2013-09-07,18,388
2013-09-08 - 2013-09-14,18,389
2013-09-15 - 2013-09-21,20,390
2013-09-22 - 2013-09-28,15,391
2013-09-29 - 2013-10-05,16,392
2013-10-06 - 2013-10-12,23,393
2013-10-13 - 2013-10-19,23,394
2013-10-20 - 2013-10-26,15,395
2013-10-27 - 2013-11-02,23,396
2013-11-03 - 2013-11-09,20,397
2013-11-10 - 2013-11-16,32,398
2013-11-17 - 2013-11-23,20,399
2013-11-24 - 2013-11-30,19,400
2013-12-01 - 2013-12-07,30,401
2013-12-08 - 2013-12-14,33,402
2013-12-15 - 2013-12-21,21,403
2013-12-22 - 2013-12-28,10,404
2013-12-29 - 2014-01-04,13,405
2014-01-05 - 2014-01-11,28,406
2014-01-12 - 2014-01-18,18,407
2014-01-19 - 2014-01-25,15,408
2014-01-26 - 2014-02-01,16,409
2014-02-02 - 2014-02-08,27,410
2014-02-09 - 2014-02-15,26,411
2014-02-16 - 2014-02-22,22,412
2014-02-23 - 2014-03-01,39,413
2014-03-02 - 2014-03-08,23,414
2014-03-09 - 2014-03-15,25,415
2014-03-16 - 2014-03-22,22,416
2014-03-23 - 2014-03-29,26,417
2014-03-30 - 2014-04-05,19,418
2014-04-06 - 2014-04-12,20,419
2014-04-13 - 2014-04-19,12,420
2014-04-20 - 2014-04-26,22,421
2014-04-27 - 2014-05-03,19,422
2014-05-04 - 2014-05-10,22,423
2014-05-11 - 2014-05-17,31,424
2014-05-18 - 2014-05-24,22,425
2014-05-25 - 2014-05-31,33,426
2014-06-01 - 2014-06-07,26,427
2014-06-08 - 2014-06-14,25,428
2014-06-15 - 2014-06-21,13,429
2014-06-22 - 2014-06-28,30,430
2014-06-29 - 2014-07-05,21,431
2014-07-06 - 2014-07-12,14,432
2014-07-13 - 2014-07-19,17,433
2014-07-20 - 2014-07-26,19,434
2014-07-27 - 2014-08-02,30,435
2014-08-03 - 2014-08-09,15,436
2014-08-10 - 2014-08-16,20,437
2014-08-17 - 2014-08-23,15,438
2014-08-24 - 2014-08-30,29,439
2014-08-31 - 2014-09-06,20,440
2014-09-07 - 2014-09-13,25,441
2014-09-14 - 2014-09-20,23,442
2014-09-21 - 2014-09-27,35,443
2014-09-28 - 2014-10-04,25,444
2014-10-05 - 2014-10-11,35,445
2014-10-12 - 2014-10-18,29,446
2014-10-19 - 2014-10-25,33,447
2014-10-26 - 2014-11-01,31,448
2014-11-02 - 2014-11-08,32,449
2014-11-09 - 2014-11-15,27,450
2014-11-16 - 2014-11-22,22,451
2014-11-23 - 2014-11-29,27,452
2014-11-30 - 2014-12-06,26,453
2014-12-07 - 2014-12-13,26,454
2014-12-14 - 2014-12-20,20,455
2014-12-21 - 2014-12-27,14,456
2014-12-28 - 2015-01-03,14,457
2015-01-04 - 2015-01-10,44,458
2015-01-11 - 2015-01-17,37,459
2015-01-18 - 2015-01-24,35,460
2015-01-25 - 2015-01-31,32,461
2015-02-01 - 2015-02-07,34,462
2015-02-08 - 2015-02-14,30,463
2015-02-15 - 2015-02-21,34,464
2015-02-22 - 2015-02-28,36,465
2015-03-01 - 2015-03-07,39,466
2015-03-08 - 2015-03-14,33,467
2015-03-15 - 2015-03-21,49,468
2015-03-22 - 2015-03-28,66,469
2015-03-29 - 2015-04-04,46,470
2015-04-05 - 2015-04-11,42,471
2015-04-12 - 2015-04-18,41,472
2015-04-19 - 2015-04-25,46,473
2015-04-26 - 2015-05-02,31,474
2015-05-03 - 2015-05-09,61,475
2015-05-10 - 2015-05-16,53,476
2015-05-17 - 2015-05-23,41,477
2015-05-24 - 2015-05-30,41,478
2015-05-31 - 2015-06-06,35,479
2015-06-07 - 2015-06-13,39,480
2015-06-14 - 2015-06-20,39,481
2015-06-21 - 2015-06-27,39,482
2015-06-28 - 2015-07-04,32,483
2015-07-05 - 2015-07-11,41,484
2015-07-12 - 2015-07-18,28,485
2015-07-19 - 2015-07-25,41,486
2015-07-26 - 2015-08-01,36,487
2015-08-02 - 2015-08-08,36,488
2015-08-09 - 2015-08-15,36,489
2015-08-16 - 2015-08-22,37,490
2015-08-23 - 2015-08-29,33,491
2015-08-30 - 2015-09-05,40,492
2015-09-06 - 2015-09-12,36,493
2015-09-13 - 2015-09-19,58,494
2015-09-20 - 2015-09-26,47,495
2015-09-27 - 2015-10-03,39,496
2015-10-04 - 2015-10-10,51,497
2015-10-11 - 2015-10-17,65,498
2015-10-18 - 2015-10-24,56,499
2015-10-25 - 2015-10-31,63,500
2015-11-01 - 2015-11-07,69,501
2015-11-08 - 2015-11-14,62,502
2015-11-15 - 2015-11-21,64,503
2015-11-22 - 2015-11-28,48,504
2015-11-29 - 2015-12-05,72,505
2015-12-06 - 2015-12-12,58,506
2015-12-13 - 2015-12-19,53,507
2015-12-20 - 2015-12-26,38,508
2015-12-27 - 2016-01-02,29,509
2016-01-03 - 2016-01-09,59,510
2016-01-10 - 2016-01-16,85,511
2016-01-17 - 2016-01-23,60,512
2016-01-24 - 2016-01-30,63,513
2016-01-31 - 2016-02-06,51,514
2016-02-07 - 2016-02-13,64,515
2016-02-14 - 2016-02-20,68,516
2016-02-21 - 2016-02-27,63,517
2016-02-28 - 2016-03-05,67,518
2016-03-06 - 2016-03-12,100,519
2016-03-13 - 2016-03-19,89,520
2016-03-20 - 2016-03-26,68,521
2016-03-27 - 2016-04-02,78,522
2016-04-03 - 2016-04-09,82,523
2016-04-10 - 2016-04-16,87,524
2016-04-17 - 2016-04-23,82,525
2016-04-24 - 2016-04-30,85,526
